Web Search interest: black; white; red; green; purple
Worldwide; 2004 - present

Interest over time
Week,black,white,red,green,purple
2004-01-04 - 2004-01-10,31,27,25,14,2
2004-01-11 - 2004-01-17,31,26,25,14,2
2004-01-18 - 2004-01-24,32,26,26,14,2
2004-01-25 - 2004-01-31,31,26,25,13,2
2004-02-01 - 2004-02-07,34,27,25,13,2
2004-02-08 - 2004-02-14,34,28,26,13,2
2004-02-15 - 2004-02-21,34,27,26,13,2
2004-02-22 - 2004-02-28,34,26,26,14,2
2004-02-29 - 2004-03-06,33,25,26,13,2
2004-03-07 - 2004-03-13,32,25,25,13,2
2004-03-14 - 2004-03-20,31,26,25,14,2
2004-03-21 - 2004-03-27,32,25,25,13,2
2004-03-28 - 2004-04-03,31,26,25,13,2
2004-04-04 - 2004-04-10,31,26,25,13,2
2004-04-11 - 2004-04-17,30,26,26,13,2
2004-04-18 - 2004-04-24,31,27,26,14,2
2004-04-25 - 2004-05-01,32,26,27,14,2
2004-05-02 - 2004-05-08,30,27,27,13,2
2004-05-09 - 2004-05-15,30,26,26,13,2
2004-05-16 - 2004-05-22,31,26,26,13,2
2004-05-23 - 2004-05-29,29,26,25,13,2
2004-05-30 - 2004-06-05,31,25,25,13,2
2004-06-06 - 2004-06-12,30,26,25,14,2
2004-06-13 - 2004-06-19,29,26,26,13,2
2004-06-20 - 2004-06-26,29,27,25,13,2
2004-06-27 - 2004-07-03,29,27,25,13,2
2004-07-04 - 2004-07-10,29,26,25,14,2
2004-07-11 - 2004-07-17,29,27,25,14,2
2004-07-18 - 2004-07-24,31,27,25,14,2
2004-07-25 - 2004-07-31,30,27,26,14,2
2004-08-01 - 2004-08-07,30,28,25,15,2
2004-08-08 - 2004-08-14,29,27,25,14,2
2004-08-15 - 2004-08-21,29,27,25,14,2
2004-08-22 - 2004-08-28,29,26,24,14,2
2004-08-29 - 2004-09-04,30,25,25,14,2
2004-09-05 - 2004-09-11,29,25,25,15,2
2004-09-12 - 2004-09-18,28,25,25,16,2
2004-09-19 - 2004-09-25,28,25,26,16,2
2004-09-26 - 2004-10-02,29,26,26,17,2
2004-10-03 - 2004-10-09,29,25,26,16,2
2004-10-10 - 2004-10-16,30,25,27,16,2
2004-10-17 - 2004-10-23,29,26,35,15,2
2004-10-24 - 2004-10-30,29,26,35,15,2
2004-10-31 - 2004-11-06,29,25,26,16,2
2004-11-07 - 2004-11-13,30,25,26,16,2
2004-11-14 - 2004-11-20,30,26,25,16,2
2004-11-21 - 2004-11-27,30,24,24,16,2
2004-11-28 - 2004-12-04,30,26,25,16,2
2004-12-05 - 2004-12-11,31,28,25,16,2
2004-12-12 - 2004-12-18,29,31,26,16,2
2004-12-19 - 2004-12-25,29,30,24,16,2
2004-12-26 - 2005-01-01,30,31,33,16,2
2005-01-02 - 2005-01-08,28,29,28,17,2
2005-01-09 - 2005-01-15,29,27,25,17,2
2005-01-16 - 2005-01-22,29,27,24,17,2
2005-01-23 - 2005-01-29,30,25,24,17,2
2005-01-30 - 2005-02-05,32,26,24,17,2
2005-02-06 - 2005-02-12,34,26,25,17,2
2005-02-13 - 2005-02-19,31,26,25,17,2
2005-02-20 - 2005-02-26,31,25,24,17,2
2005-02-27 - 2005-03-05,29,25,25,16,2
2005-03-06 - 2005-03-12,28,25,27,17,2
2005-03-13 - 2005-03-19,28,25,23,17,2
2005-03-20 - 2005-03-26,29,25,25,16,2
2005-03-27 - 2005-04-02,29,25,24,16,2
2005-04-03 - 2005-04-09,29,25,25,16,2
2005-04-10 - 2005-04-16,28,25,25,17,2
2005-04-17 - 2005-04-23,29,25,24,17,2
2005-04-24 - 2005-04-30,29,26,24,16,2
2005-05-01 - 2005-05-07,31,28,26,18,2
2005-05-08 - 2005-05-14,30,26,24,17,2
2005-05-15 - 2005-05-21,29,26,24,17,2
2005-05-22 - 2005-05-28,29,26,25,16,2
2005-05-29 - 2005-06-04,29,25,23,15,2
2005-06-05 - 2005-06-11,30,27,24,16,2
2005-06-12 - 2005-06-18,29,26,25,16,2
2005-06-19 - 2005-06-25,30,26,24,16,2
2005-06-26 - 2005-07-02,29,27,24,16,2
2005-07-03 - 2005-07-09,29,25,23,16,2
